experiment,quantity,grid_name,grid_value,arm,value,n,note
A,clamp_rate_per_step,gamma_lev,0,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0,dgp,3.4428652877326442,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.02,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.02,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.02,dgp,4.5772447996110941,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.040000000000000001,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.040000000000000001,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.040000000000000001,dgp,7.2182297375632167,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.059999999999999998,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.059999999999999998,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.059999999999999998,dgp,11.49412442291735,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.080000000000000002,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.080000000000000002,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.080000000000000002,dgp,18.161256276325183,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.10000000000000001,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.10000000000000001,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.10000000000000001,dgp,28.143321475146287,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.12,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.12,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.12,dgp,42.466089371924916,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.14000000000000001,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.14000000000000001,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.14000000000000001,dgp,62.107594509894078,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.16,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.16,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.16,dgp,87.71831088639172,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.17999999999999999,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.17999999999999999,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.17999999999999999,dgp,125.85317921539378,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.20000000000000001,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.20000000000000001,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.20000000000000001,dgp,232.81755989466814,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
A,clamp_rate_per_step,gamma_lev,0.22,dgp,0,1399800,"control C10: sigma2[t] = min(sigma2[t], 1e4 * sigma2_unc), witness l.106"
A,clamp_rate_per_stream,gamma_lev,0.22,dgp,0,200,control C10
A,max_sigma2_over_unc,gamma_lev,0.22,dgp,576.807330516246,200,"control C10: largest unclamped sigma2 in units of sigma2_unc, ceiling 1e4"
